id,name,email,password,phone
7,vishal pandey,vishal@gmail.com,1234,1234567890
8,parida sarvesh,parida@gmail.com,1234,1234567890
9,sweety yadav,sweety@gmail.com,1234,1234567890
10,jeet kulkarni,jeet@gmail.com,1234,1234567890
11,naeem alam,naeem@gmail.com,1234,1234567890
12,murtuza ratlamwala,murtuza@gmail.com,1234,1234567890
13,chaitnya rajiwade,chaitnya@gmail.com,1234,1234567890
14,deepak boss,deepak@gmail.com,1234,1234567890
15,jignesh singh,jignesh@gmail.com,1234,1234567890
16,ram yadav,ram@gmail.com,1234,1234567890
